family	artifact_or_path	installed_identity	target_identity	state	disposition_or_next_action	authority	issue
OMW	/vault/Data/OMW	legacy tabs in damaged worktree	OMW 2.0	superseded	replace after staged OMW 2.0 validates	https://github.com/omwn/omw-data/releases/tag/v2.0	#1471
OMW	/vault/Data/omw	duplicate legacy tabs in damaged worktree	OMW 2.0	superseded	delete after uppercase replacement validates; never double-vote	https://github.com/omwn/omw-data/releases/tag/v2.0	#1471
OMW	.refresh-20260903/OMW-2.0/omw-2.0.tar.xz	SHA256 c369a2ad773a31e182ac4cc753132fa7c31ad423586d6783bacce08090cb8d7d	OMW 2.0	staged	admit combined archive and 32 current language lexicons	https://github.com/omwn/omw-data/releases/download/v2.0/omw-2.0.tar.xz	#1471
OMW	.refresh-20260903/OMW-2.0/index.toml	SHA256 63fc6828e577647a14b21f429d589f240057fc0c668f684a40af7bdcc4c8c186	OMW 2.0	staged	admit release index and per-lexicon license declarations	https://github.com/omwn/omw-data/releases/download/v2.0/index.toml	#1471
OMW historical English	omw-en15/en16/en17/en171/en20/en21/en31 release assets	not installed	OMW 2.0 compatibility packages	historical	excluded from current-language combined set; acquire only for version bridging	https://github.com/omwn/omw-data/releases/tag/v2.0	#1471
Open English WordNet	.refresh-20260903/OpenEnglishWordNet-2025-plus/english-wordnet-2025-plus.xml.gz	not active	2025+	staged	admit after full WN-LMF parse; SHA256 31f4af16c54b532fd5484d4cc33aee588a31bb5b70683ae8197842fde5b586bc	https://github.com/globalwordnet/english-wordnet/releases/tag/2025-edition	#1471
Princeton WordNet	/vault/Data/Wordnet	3.0	3.0 compatibility coordinate	current-verify	retain; pin archive/license/hash and distinguish from OEWN	https://wordnet.princeton.edu/download/current-version	#1471
CILI	/vault/Data/CILI	dfc99e plus 23 modified files	a895d7ecb18019dda3443f98901e59d81ce8722b	superseded	replace with pristine immutable snapshot	https://github.com/globalwordnet/cili	#1471
CILI	.refresh-20260903/CILI/cili-a895d7ecb18019dda3443f98901e59d81ce8722b.tar.gz	commit archive	a895d7ecb18019dda3443f98901e59d81ce8722b	staged	verify hash/tree then admit	https://github.com/globalwordnet/cili/archive/a895d7ecb18019dda3443f98901e59d81ce8722b.tar.gz	#1471
MapNet	/vault/Data/MapNet-0.1	0.1; 2009; FN1.3/WN1.6	modern coverage set	superseded	remove after FrameBase/SemLink/current native coverage and receipt	https://hlt-nlp.fbk.eu/technologies/mapnet	#1471
WordFrameNet	/vault/Data/WordFrameNet	unversioned WFN/XWFN flat files	modern coverage set	superseded	remove after FrameBase/SemLink/OEWN coverage and receipt	unknown local provenance	#1471
Predicate Matrix	/vault/Data/PredicateMatrix.v1.3	1.3; 2016	no maintained drop-in successor	superseded	remove from active current estate only after distinct fields are covered or marked historical	http://adimen.si.ehu.es/web/PredicateMatrix	#1471
SemLink	/vault/Data/SemLink	2.0 snapshot fetched 2026-06-05	current upstream commit	current-verify	retain; pin commit/hash/license and enumerate all mappings	https://github.com/cu-clear/semlink	#1471
FrameBase	.refresh-20260903/FrameBase-2.0	three schema files staged	2.0 full selected dump graph	staged	complete schema/manual/instance dispositions and hashes	https://www.framebase.org/files/data/dump/	#1471
VerbAtlas	.refresh-20260903/VerbAtlas-1.1/VerbAtlas-1.1.0.zip	not active	1.1	staged	verify ZIP members/license/hash then admit	https://verbatlas.org/downloads/VerbAtlas-1.1.0.zip	#1471
FrameNet	/vault/Data/FrameNet	1.7	1.7	current-verify	retain; manifest complete release tree and license	https://framenet.icsi.berkeley.edu/	#1471
VerbNet	/vault/Data/VerbNet	3.4	3.4/current upstream snapshot	current-verify	retain; pin commit/archive/license; distinguish vn-gl/test trees	https://github.com/cu-clear/verbnet	#1471
PropBank	/vault/Data/PropBank	3.4	3.4/current upstream snapshot	current-verify	retain; pin commit/archive/license and all frames	https://github.com/propbank/propbank-frames	#1471
Atomic2020	/vault/Data/Atomic2020	2020 human-authored release	Atomic2020	current-verify	retain; pin splits/hash/license; not superseded by 10x	https://allenai.org/data/atomic-2020	#1472
ATOMIC10x	.refresh-20260903/Atomic/ATOMIC10X.jsonl	not active	v1 data release	staged	admit separately; 1535887049 bytes; MD5 027c1c063750bbe8ef65000ccccf0960	https://storage.googleapis.com/ai2-mosaic-public/projects/symbolic-knowledge-decoding/ATOMIC10X.jsonl	#1472
Dense-ATOMIC	absent	research extension	stable licensed artifact unresolved	absent	investigate; do not admit opaque Drive blob without license/hash	https://github.com/allenai/dense-atomic	#1472
UD	/vault/Data/UD-Treebanks/ud-treebanks-v2.17	2.17	2.18	superseded	delete after v2.18 tree/archive reconciliation	https://universaldependencies.org/	#1472
UD	.refresh-20260903/UD-Treebanks/ud-treebanks-v2.18.tgz	not active	2.18	staged	admit; 684056893 bytes; MD5 e9bfd544a48eac63ea3bb41e80c78813	https://lindat.mff.cuni.cz/repository/xmlui/handle/11234/1-6039	#1472
Tatoeba	/vault/Data/Tatoeba/sentences.tar.bz2	2026-01-31	2026-08-29	superseded	replace after current archive/extract reconciliation	https://downloads.tatoeba.org/exports/	#1472
Tatoeba	/vault/Data/Tatoeba/links.tar.bz2	2026-01-31	2026-08-29	superseded	replace after current archive/extract reconciliation	https://downloads.tatoeba.org/exports/	#1472
Tatoeba	/vault/Data/Tatoeba/audio/tatoeba_audio_eng.zip	upstream stable 2017-11-29	same artifact	current-verify	retain if hash matches official 4116471982-byte artifact	https://downloads.tatoeba.org/audio/tatoeba_audio_eng.zip	#1472
Tatoeba	.refresh-20260903/Tatoeba	2026-08-29 core plus selected sidecars	2026-08-29	staged	finish sidecar dispositions, hashes, extraction and install	https://downloads.tatoeba.org/exports/	#1472
Wiktionary	/vault/Data/Wiktionary	2026-02 to 2026-04 payloads	2026-08-28 raw Wiktextract	superseded	remove old raw/deprecated per-language overlap after current validation	https://kaikki.org/dictionary/rawdata.html	#1472
Wiktionary	.refresh-20260903/Wiktionary/raw-wiktextract-data-2026-08-28.jsonl.gz	not active	2026-08-28 extraction from 2026-08-05 dump	staged	CRC/schema/count/hash then admit; raw lane is not deprecated	https://kaikki.org/dictionary/raw-wiktextract-data.jsonl.gz	#1472
TWIC	/vault/Data/Games/Chess/TWIC	through 1650	through 1660	superseded	add numbered 1651-1660 ZIP/PGN artifacts and manifests	https://theweekinchess.com/a-year-of-pgn-game-files	#1472
Lichess openings	/vault/Data/Games/Chess/lichess-openings	older snapshot	4b8622759e7ae6f93f011cc6c83a3823401ab45e	superseded	replace with pinned archive/TSVs/license	https://github.com/lichess-org/chess-openings	#1472
Project Gutenberg	/vault/Data/ProjectGutenberg/text	195 recursively classified texts	curated mini-collection	admitted	retain; generate header metadata and file manifest	https://www.gutenberg.org/	#806
Project Gutenberg	/vault/Data/ProjectGutenberg/Pierre-Simon-Laplace	separate acquisition subtree	curated acquisition branch	current-verify	retain and manifest recursively	multiple recorded upstreams	#806
Fixtures	/vault/Data/test-data/text	9 non-Gutenberg fixtures	9 fixtures	admitted	retain separate from corpus; zero Gutenberg markers	local test data	#1472
Unicode UCD	/vault/Data/UCD	17.0 candidate mirror	17.0 official full graph	current-verify	reconcile FTP/archive/extract/checksums before cleanup	https://www.unicode.org/Public/17.0.0/	#1043
